fips,name
01,Alabama
02,Alaska
04,Arizona
05,Arkansas
06,California
08,Colorado
09,Connecticut
10,Delaware
11,District of Columbia
12,Florida
13,Georgia
15,Hawaii
16,Idaho
17,Illinois
18,Indiana
19,Iowa
20,Kansas
21,Kentucky
22,Louisiana
23,Maine
24,Maryland
25,Massachusetts
26,Michigan
27,Minnesota
28,Mississippi
29,Missouri
30,Montana
31,Nebraska
32,Nevada
33,New Hampshire
34,New Jersey
35,New Mexico
36,New York
37,North Carolina
38,North Dakota
39,Ohio
40,Oklahoma
41,Oregon
42,Pennsylvania
44,Rhode Island
45,South Carolina
46,South Dakota
47,Tennessee
48,Texas
49,Utah
50,Vermont
51,Virginia
53,Washington
54,West Virginia
55,Wisconsin
56,Wyoming
09001,Fairfield County
09003,Hartford County
09005,Litchfield County
09007,Middlesex County
09009,New Haven County
09011,New London County
09013,Tolland County
09015,Windham County
09110,Capitol
09120,Greater Bridgeport
09130,Lower Connecticut River Valley
09140,Naugatuck Valley
09150,Northeastern Connecticut
09160,Northwest Hills
09170,South Central Connecticut
09180,Southeastern Connecticut
09190,Western Connecticut
23001,Androscoggin County
23003,Aroostook County
23005,Cumberland County
23007,Franklin County
23009,Hancock County
23011,Kennebec County
23013,Knox County
23015,Lincoln County
23017,Oxford County
23019,Penobscot County
23021,Piscataquis County
23023,Sagadahoc County
23025,Somerset County
23027,Waldo County
23029,Washington County
23031,York County
25001,Barnstable County
25003,Berkshire County
25005,Bristol County
25007,Dukes County
25009,Essex County
25011,Franklin County
25013,Hampden County
25015,Hampshire County
25017,Middlesex County
25019,Nantucket County
25021,Norfolk County
25023,Plymouth County
25025,Suffolk County
25027,Worcester County
33001,Belknap County
33003,Carroll County
33005,Cheshire County
33007,Coos County
33009,Grafton County
33011,Hillsborough County
33013,Merrimack County
33015,Rockingham County
33017,Strafford County
33019,Sullivan County
44001,Bristol County
44003,Kent County
44005,Newport County
44007,Providence County
44009,Washington County
50001,Addison County
50003,Bennington County
50005,Caledonia County
50007,Chittenden County
50009,Essex County
50011,Franklin County
50013,Grand Isle County
50015,Lamoille County
50017,Orange County
50019,Orleans County
50021,Rutland County
50023,Washington County
50025,Windham County
50027,Windsor County
